play_id,player_id,category_id,game_name,played_at,amount_bet,amount_won
T00000163,P0001,C7,Roulette,2024-02-12 01:18:00,505.00,0.00
T00000164,P0001,C7,Roulette,2024-02-12 01:24:00,755.00,71.02
T00000165,P0001,C2,Blackjack,2024-02-12 01:26:00,1200.00,0.00
T00000166,P0001,C3,$1 Slots,2024-02-12 01:31:00,19.00,0.03
T00000167,P0001,C1,Poker,2024-02-12 01:36:00,1925.00,9052.12
T00000168,P0001,C7,Roulette,2024-02-12 01:42:00,525.00,0.00
T00000169,P0001,C4,$25 Slots,2024-02-12 01:48:00,275.00,0.00
T00000170,P0001,C5,Craps,2024-02-12 01:54:00,1075.00,1784.97
T00000171,P0001,C3,$1 Slots,2024-02-12 01:56:00,8.00,0.00
T00000172,P0001,C1,Poker,2024-02-12 02:00:00,925.00,594.58
T00000173,P0001,C5,Craps,2024-02-12 02:03:00,1025.00,0.00
T00000174,P0001,C4,$25 Slots,2024-02-12 02:09:00,275.00,976.79
T00000175,P0001,C3,$1 Slots,2024-02-12 02:12:00,18.00,0.00
T00000176,P0001,C5,Craps,2024-02-14 22:49:00,700.00,372.92
T00000177,P0001,C1,Poker,2024-02-14 22:54:00,1825.00,0.00
T00000178,P0001,C4,$25 Slots,2024-02-14 23:00:00,250.00,760.87
T00000179,P0001,C7,Roulette,2024-02-14 23:05:00,1315.00,4392.81
T00000180,P0001,C4,$25 Slots,2024-02-14 23:10:00,250.00,0.00
T00000181,P0001,C5,Craps,2024-02-14 23:12:00,1050.00,0.00
T00000182,P0001,C7,Roulette,2024-02-14 23:17:00,305.00,0.00
T00000183,P0001,C2,Blackjack,2024-02-14 23:20:00,675.00,16.37
T00000184,P0001,C5,Craps,2024-02-14 23:23:00,1300.00,0.00
T00000185,P0001,C7,Roulette,2024-02-14 23:27:00,1065.00,0.00
T00000186,P0001,C7,Roulette,2024-02-14 23:33:00,795.00,0.00
T00000187,P0001,C7,Roulette,2024-02-14 23:38:00,1160.00,0.00
T00000188,P0001,C4,$25 Slots,2024-02-14 23:44:00,125.00,1.18
T00000189,P0001,C3,$1 Slots,2024-02-14 23:47:00,17.00,0.00
T00000190,P0001,C2,Blackjack,2024-02-14 23:53:00,1575.00,0.00
T00000191,P0001,C4,$25 Slots,2024-02-14 23:59:00,250.00,191.09
T00000192,P0001,C2,Blackjack,2024-02-15 00:02:00,800.00,3.62
T00000193,P0001,C4,$25 Slots,2024-02-15 00:07:00,150.00,0.00
T00000194,P0001,C7,Roulette,2024-02-15 00:10:00,345.00,0.00
T00000195,P0001,C6,Electronic Games,2024-02-15 00:16:00,150.00,0.00
T00000196,P0001,C2,Blackjack,2024-02-15 00:19:00,375.00,734.99
T00000197,P0001,C7,Roulette,2024-02-15 00:23:00,560.00,9.79
T00000198,P0001,C7,Roulette,2024-02-15 00:26:00,605.00,1239.78
T00000199,P0001,C7,Roulette,2024-02-15 00:32:00,410.00,58.95
T00000200,P0001,C3,$1 Slots,2024-02-15 00:35:00,39.00,148.08
T00000201,P0001,C1,Poker,2024-02-15 00:39:00,975.00,221.77
T00000202,P0001,C4,$25 Slots,2024-02-15 00:44:00,275.00,0.00
T00000203,P0001,C7,Roulette,2024-02-15 00:47:00,490.00,0.00
T00000204,P0001,C7,Roulette,2024-02-15 00:51:00,405.00,1791.43
T00000205,P0001,C7,Roulette,2024-02-15 00:54:00,735.00,0.00
T00000206,P0001,C5,Craps,2024-02-15 00:57:00,950.00,0.00
T00000207,P0001,C7,Roulette,2024-02-15 01:00:00,960.00,2383.49
T00000208,P0001,C7,Roulette,2024-02-15 01:05:00,560.00,0.00
T00000209,P0001,C4,$25 Slots,2024-02-15 01:08:00,400.00,257.16
T00000210,P0001,C7,Roulette,2024-02-15 01:14:00,565.00,1490.94
T00000211,P0001,C5,Craps,2024-07-13 21:18:00,1200.00,1278.02
T00000212,P0001,C2,Blackjack,2024-07-13 21:21:00,1075.00,0.00
T00000213,P0001,C2,Blackjack,2024-07-13 21:23:00,1075.00,31.92
T00000214,P0001,C7,Roulette,2024-07-13 21:29:00,1105.00,522.16
T00000215,P0001,C2,Blackjack,2024-07-13 21:34:00,900.00,0.00
T00000216,P0001,C7,Roulette,2024-07-13 21:39:00,840.00,13.84
T00000217,P0001,C7,Roulette,2024-07-13 21:44:00,720.00,32.38
T00000218,P0001,C3,$1 Slots,2024-07-13 21:47:00,14.00,0.00
T00000219,P0001,C7,Roulette,2024-07-13 21:50:00,1075.00,0.00
T00000220,P0001,C6,Electronic Games,2024-07-13 21:56:00,85.00,1.59
T00000221,P0001,C6,Electronic Games,2024-07-13 22:02:00,115.00,0.00
T00000222,P0001,C1,Poker,2024-07-13 22:04:00,1475.00,2920.81
T00000223,P0001,C3,$1 Slots,2024-07-13 22:09:00,12.00,30.41
T00000224,P0001,C4,$25 Slots,2024-07-13 22:13:00,175.00,0.00
T00000225,P0001,C7,Roulette,2024-07-13 22:18:00,445.00,1502.42
T00000226,P0001,C6,Electronic Games,2024-07-13 22:21:00,80.00,167.17
T00000227,P0001,C7,Roulette,2024-07-13 22:25:00,1200.00,4575.06
T00000228,P0001,C7,Roulette,2024-07-13 22:30:00,1920.00,2566.71
T00000229,P0001,C7,Roulette,2024-07-13 22:34:00,480.00,0.00
T00000230,P0001,C7,Roulette,2024-07-13 22:39:00,880.00,75.79
T00000231,P0001,C7,Roulette,2024-07-13 22:41:00,1050.00,23.06
T00000232,P0001,C5,Craps,2024-07-13 22:46:00,400.00,0.00
T00000233,P0001,C7,Roulette,2024-07-13 22:51:00,600.00,269.99
T00000234,P0001,C5,Craps,2024-07-13 22:56:00,1575.00,2760.13
T00000235,P0001,C6,Electronic Games,2024-07-13 23:01:00,140.00,0.88
T00000236,P0001,C1,Poker,2024-07-13 23:06:00,1200.00,437.56
T00000237,P0001,C1,Poker,2024-07-13 23:09:00,775.00,1.30
T00000238,P0001,C3,$1 Slots,2024-07-13 23:11:00,11.00,0.00
T00000239,P0001,C3,$1 Slots,2024-07-13 23:17:00,22.00,0.00
T00000240,P0001,C2,Blackjack,2024-07-13 23:21:00,1575.00,0.00
T00000241,P0001,C7,Roulette,2024-07-13 23:27:00,1145.00,177.19
T00000242,P0001,C6,Electronic Games,2024-07-13 23:30:00,145.00,74.42
T00000243,P0001,C1,Poker,2024-07-13 23:34:00,3514.00,10728.86
T00000244,P0001,C7,Roulette,2024-07-13 23:37:00,1410.00,0.00
T00000245,P0001,C1,Poker,2024-07-13 23:42:00,775.00,468.38
T00000246,P0001,C5,Craps,2024-08-07 20:44:00,1100.00,2655.16
T00000247,P0001,C3,$1 Slots,2024-08-07 20:49:00,25.00,0.00
T00000248,P0001,C2,Blackjack,2024-08-07 20:55:00,1525.00,538.70
T00000249,P0001,C2,Blackjack,2024-08-07 20:57:00,750.00,0.00
T00000250,P0001,C2,Blackjack,2024-08-07 21:00:00,1600.00,0.00
T00000251,P0001,C5,Craps,2024-08-07 21:06:00,1175.00,4742.90
T00000252,P0001,C7,Roulette,2024-08-07 21:12:00,845.00,0.00
T00000253,P0001,C6,Electronic Games,2024-08-07 21:14:00,60.00,75.84
T00000254,P0001,C6,Electronic Games,2024-08-07 21:20:00,140.00,318.52
T00000255,P0001,C4,$25 Slots,2024-08-07 21:22:00,325.00,0.00
T00000256,P0001,C3,$1 Slots,2024-08-07 21:24:00,75.00,7.62
T00000257,P0001,C2,Blackjack,2024-08-07 21:27:00,1675.00,0.00
T00000258,P0001,C4,$25 Slots,2024-08-07 21:31:00,350.00,0.00
T00000259,P0001,C7,Roulette,2024-08-07 21:37:00,465.00,1882.46
T00000260,P0001,C5,Craps,2024-08-07 21:39:00,850.00,0.00
T00000261,P0001,C4,$25 Slots,2024-08-07 21:42:00,550.00,12.08
T00000262,P0001,C4,$25 Slots,2024-08-07 21:47:00,200.00,0.00
T00000263,P0001,C1,Poker,2024-08-07 21:53:00,2700.00,13.46
T00000264,P0001,C7,Roulette,2024-08-07 21:56:00,840.00,3987.86
T00000265,P0001,C1,Poker,2024-08-07 21:59:00,700.00,0.00
T00000266,P0001,C7,Roulette,2024-08-07 22:05:00,465.00,0.00
T00000267,P0001,C2,Blackjack,2024-08-07 22:08:00,950.00,126.17
T00000268,P0001,C1,Poker,2024-08-07 22:11:00,1125.00,4478.54
T00000269,P0001,C7,Roulette,2024-08-07 22:14:00,860.00,0.00
T00000270,P0001,C4,$25 Slots,2024-08-07 22:20:00,350.00,0.00
T00000271,P0001,C4,$25 Slots,2024-08-07 22:25:00,125.00,322.95
T00000272,P0001,C2,Blackjack,2024-08-07 22:31:00,1925.00,7917.64
T00000273,P0001,C7,Roulette,2024-08-07 22:36:00,785.00,1782.47
T00000274,P0001,C2,Blackjack,2024-08-07 22:40:00,600.00,1488.33
T00000275,P0001,C2,Blackjack,2024-08-07 22:44:00,950.00,0.00
T00000276,P0001,C7,Roulette,2024-08-07 22:47:00,1225.00,76.36
T00000277,P0001,C2,Blackjack,2024-08-07 22:50:00,950.00,156.62
T00000278,P0001,C6,Electronic Games,2024-08-07 22:52:00,125.00,288.13
T00000279,P0001,C5,Craps,2024-08-07 22:55:00,725.00,0.00
T00000280,P0001,C2,Blackjack,2024-08-12 22:37:00,475.00,2372.13
T00000281,P0001,C7,Roulette,2024-08-12 22:39:00,530.00,1370.45
T00000282,P0001,C4,$25 Slots,2024-08-12 22:42:00,225.00,0.00
T00000283,P0001,C1,Poker,2024-08-12 22:44:00,650.00,1796.24
T00000284,P0001,C7,Roulette,2024-08-12 22:47:00,700.00,3057.94
T00000285,P0001,C2,Blackjack,2024-08-12 22:51:00,775.00,0.00
T00000286,P0001,C2,Blackjack,2024-08-12 22:57:00,1675.00,2702.12
T00000287,P0001,C2,Blackjack,2024-08-12 23:03:00,425.00,131.00
T00000288,P0001,C2,Blackjack,2024-08-12 23:06:00,1400.00,574.30
T00000289,P0001,C5,Craps,2024-08-12 23:09:00,575.00,0.00
T00000290,P0001,C3,$1 Slots,2024-08-12 23:13:00,32.00,12.66
T00000291,P0001,C4,$25 Slots,2024-08-12 23:18:00,475.00,0.00
T00000292,P0001,C7,Roulette,2024-08-12 23:24:00,1025.00,355.17
T00000293,P0001,C5,Craps,2024-08-12 23:28:00,1425.00,122.88
T00000294,P0001,C2,Blackjack,2024-08-12 23:33:00,1550.00,4528.89
T00000295,P0001,C4,$25 Slots,2024-08-12 23:38:00,300.00,0.00
T00000296,P0001,C7,Roulette,2024-08-12 23:42:00,825.00,0.00
T00000297,P0001,C5,Craps,2024-08-12 23:48:00,550.00,0.00
T00000298,P0001,C1,Poker,2024-08-12 23:51:00,2875.00,0.00
T00000299,P0001,C5,Craps,2024-08-12 23:57:00,2250.00,29.27
T00000300,P0001,C1,Poker,2024-08-12 23:59:00,1325.00,0.00
T00000301,P0001,C3,$1 Slots,2024-08-13 00:05:00,16.00,43.08
T00000302,P0001,C4,$25 Slots,2024-08-13 00:07:00,250.00,939.91
T00000303,P0001,C2,Blackjack,2024-08-13 00:09:00,975.00,0.00
T00000304,P0001,C7,Roulette,2024-08-13 00:13:00,575.00,926.46
T00000305,P0001,C7,Roulette,2024-08-13 00:18:00,955.00,567.57
T00000306,P0001,C4,$25 Slots,2024-08-13 00:21:00,125.00,0.00
T00000307,P0001,C4,$25 Slots,2024-08-13 00:26:00,250.00,0.00
T00000308,P0001,C3,$1 Slots,2024-08-13 00:28:00,15.00,24.69
T00000309,P0001,C5,Craps,2024-08-13 00:32:00,625.00,0.00
T00000310,P0001,C3,$1 Slots,2024-08-13 00:37:00,18.00,73.79
T00000311,P0001,C7,Roulette,2024-08-13 00:40:00,520.00,0.00
T00000312,P0001,C5,Craps,2024-08-13 00:45:00,1100.00,0.00
T00000313,P0001,C2,Blackjack,2024-08-13 00:50:00,725.00,0.00
T00000314,P0001,C6,Electronic Games,2025-02-21 17:25:00,135.00,0.00
T00000315,P0001,C6,Electronic Games,2025-02-21 17:29:00,65.00,204.00
T00000316,P0001,C3,$1 Slots,2025-02-21 17:31:00,13.00,28.89
T00000317,P0001,C2,Blackjack,2025-02-21 17:33:00,475.00,3.89
T00000318,P0001,C5,Craps,2025-02-21 17:35:00,700.00,0.00
T00000319,P0001,C7,Roulette,2025-02-21 17:40:00,630.00,1700.29
T00000320,P0001,C7,Roulette,2025-02-21 17:42:00,875.00,889.59
T00000321,P0001,C1,Poker,2025-02-21 17:45:00,1300.00,0.00
T00000322,P0001,C4,$25 Slots,2025-02-21 17:47:00,325.00,0.00
T00000323,P0001,C7,Roulette,2025-02-21 17:53:00,1250.00,0.00
T00000324,P0001,C1,Poker,2025-02-21 17:58:00,750.00,0.00
T00000325,P0001,C4,$25 Slots,2025-02-21 18:04:00,300.00,0.00
T00000326,P0001,C4,$25 Slots,2025-02-21 18:09:00,225.00,0.00
T00000327,P0001,C4,$25 Slots,2025-02-21 18:13:00,525.00,1251.85
T00000328,P0001,C6,Electronic Games,2025-02-21 18:15:00,80.00,159.46
T00000329,P0001,C7,Roulette,2025-02-21 18:19:00,915.00,0.00
T00000330,P0001,C1,Poker,2025-02-21 18:22:00,1150.00,0.00
T00000331,P0001,C2,Blackjack,2025-02-21 18:24:00,650.00,0.00
T00000332,P0001,C3,$1 Slots,2025-02-21 18:28:00,28.00,0.00
T00000333,P0001,C4,$25 Slots,2025-02-21 18:30:00,100.00,0.00
T00000334,P0001,C7,Roulette,2025-02-21 18:34:00,535.00,2.01
T00000335,P0001,C6,Electronic Games,2025-02-21 18:39:00,230.00,0.00
T00000336,P0001,C5,Craps,2025-02-21 18:44:00,900.00,2285.62
T00000337,P0001,C5,Craps,2025-02-21 18:46:00,525.00,577.01
T00000338,P0001,C7,Roulette,2025-02-21 18:48:00,955.00,1113.17
T00000339,P0001,C6,Electronic Games,2025-02-21 18:52:00,95.00,116.18
T00000340,P0001,C5,Craps,2025-02-21 18:55:00,1100.00,0.00
T00000341,P0001,C7,Roulette,2025-02-21 18:59:00,730.00,0.00
T00000342,P0001,C4,$25 Slots,2025-02-21 19:01:00,200.00,337.63
T00000343,P0001,C1,Poker,2025-02-21 19:04:00,1550.00,0.00
T00000344,P0001,C5,Craps,2025-02-21 19:09:00,1850.00,0.00
T00000345,P0001,C2,Blackjack,2025-02-21 19:12:00,1025.00,256.92
T00000346,P0001,C7,Roulette,2025-02-21 19:16:00,1315.00,578.87
T00000347,P0001,C4,$25 Slots,2025-02-21 19:18:00,375.00,0.00
T00000348,P0001,C7,Roulette,2025-04-12 21:42:00,680.00,0.00
T00000349,P0001,C7,Roulette,2025-04-12 21:44:00,550.00,2337.73
T00000350,P0001,C7,Roulette,2025-04-12 21:50:00,740.00,1353.12
T00000351,P0001,C7,Roulette,2025-04-12 21:54:00,535.00,0.00
T00000352,P0001,C2,Blackjack,2025-04-12 21:58:00,2978.00,0.00
T00000353,P0001,C7,Roulette,2025-04-12 22:02:00,470.00,0.00
T00000354,P0001,C7,Roulette,2025-04-12 22:08:00,350.00,1098.14
T00000355,P0001,C3,$1 Slots,2025-04-12 22:12:00,9.00,0.00
T00000356,P0001,C4,$25 Slots,2025-04-12 22:15:00,325.00,0.00
T00000357,P0001,C7,Roulette,2025-04-12 22:17:00,1140.00,1340.03
